,family,name,acquired_from,age,color,weight,socialness,intelligence,activity_level,vocalization
240,137,Whiskey,cat_cafe,Junior ,Fire point siamese,6,10,2,8,10
241,139,Clark,shelter_or_rescue,Kitten ,Solid gray,7,10,5,7,2
242,139,Kiki,friend_or_relative,Senior ,Gray tuxedo gray and white,15,7,8,3,6
243,140,Dr Henry Jones. Jr,stray,Mature ,Brown tabby/brown tabby with white,10,8,8,3,3
244,140,Billy Shipton ,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,12,4,3,2,5
245,141,Kittles,from_owned_pet,Senior ,Solid black,,4,4,3,6
246,142,Kitka,friend_or_relative,Senior ,Long hair black and white marbled non-tuxedo,11,3,4,4,6
247,143,Bijou,shelter_or_rescue,Junior ,Tortoiseshell,11,5,10,6,6
248,144,Jefferson,friend_or_relative,Mature ,Brown tabby/brown tabby with white,15,8,6,1,4
249,143,Cosmo Charlie ,shelter_or_rescue,Junior ,Classic tuxedo black and white,13,8,7,8,10
250,145,Chai,stray,Adult ,Brown tabby/brown tabby with white,10,4,7,5,4
251,143,Bijou ,shelter_or_rescue,Adult ,Tortoiseshell,11,6,10,6,6
252,144,Oliver,cat_cafe,Adult ,Classic tuxedo black and white,11,6,3,4,5
253,144,Eliza,cat_cafe,Junior ,Classic tuxedo black and white,7,10,7,10,7
254,146,Girlie,shelter_or_rescue,Super Senior ,Long hair gray with white blotches,4,9,8,2,6
255,147,Jarvis,friend_or_relative,Adult ,Orange tabby/orange tabby with white,14,8,7,3,4
256,148,Sly,friend_or_relative,Senior ,Classic tuxedo black and white,7,6,9,5,2
257,149,Orange,gift,Senior ,Orange tabby/orange tabby with white,17,7,8,2,4
258,147,Tank,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,8,10,8,6,7
259,147,Trinity,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,9,5,4,4,9
260,148,Sally,stray,Senior ,Tortoiseshell,11,10,10,5,10
261,150,Mitchell ,stray,Adult ,Solid gray,14,3,9,9,8
262,147,Kitty Sister,friend_or_relative,Junior ,Gray tabby/gray tabby with white,12,6,9,9,10
263,148,Gracie,stray,Adult ,Calico,8,1,8,7,2
264,150,Mo,stray,Super Senior ,Tortoiseshell,6,10,10,3,9
265,151,LILY,shelter_or_rescue,Mature ,Solid white,14,6,10,5,10
266,152,Cassandra(Sandy),stray,Senior ,Orange tabby/orange tabby with white,8,10,9,1,6
267,152,Ambrose,stray,Adult ,Orange tabby/orange tabby with white,8,10,9,6,10
268,153,Mous ,friend_or_relative,Senior ,Classic tuxedo black and white,17,8,6,4,5
269,154,Summer,gift,Super Senior ,Gray tabby/gray tabby with white,9,5,9,4,7
270,155,Misty,breeder,Super Senior ,Tortoiseshell,,4,7,5,8
271,154,Louie,stray,Mature ,Classic tuxedo black and white,18,2,5,7,8
272,155,Nelly,breeder,Super Senior ,Solid gray,,8,4,3,5
273,152,Shyanne,stray,Mature ,Gray tabby/gray tabby with white,9,1,7,2,3
274,156,Garfield ,shelter_or_rescue,Senior ,Orange tabby/orange tabby with white,7,3,5,3,8
275,157,Basil,stray,Super Senior ,Gray tabby/gray tabby with white,7,4,8,6,3
276,157,Parsley,shelter_or_rescue,Super Senior ,Brown tabby/brown tabby with white,14,6,4,2,7
277,158,Darla,shelter_or_rescue,Adult ,Brown tabby/brown tabby with white,11,2,8,6,8
278,159,Luna,cat_cafe,Adult ,Brown tabby/brown tabby with white,7,6,5,5,3
279,160,Ben,cat_cafe,Adult ,Solid black,14,8,10,8,10
280,161,Milo,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,10,9,4,5,1
281,160,Savannah,shelter_or_rescue,Mature ,Solid white,12,1,9,2,9
282,162,Tigerlily,shelter_or_rescue,Adult ,Brown tabby/brown tabby with white,13,8,8,8,10
283,160,Nick,stray,Super Senior ,Gray tabby/gray tabby with white,10,10,10,1,10
284,162,Clancy,shelter_or_rescue,Adult ,Solid black,14,9,7,5,3
285,163,Odofin Tutuola ,breeder,Junior ,Black smoke ,6,5,5,3,2
286,164,Cleo,stray,Mature ,Gray tabby/gray tabby with white,5,8,8,6,5
287,165,Beans,cat_cafe,Junior ,Orange tabby/orange tabby with white,12,9,10,8,7
288,165,Blanche,cat_cafe,Adult ,Orange tabby/orange tabby with white,15,9,9,7,8
289,166,Ludo,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,12,5,10,3,3
290,165,Arthur,shelter_or_rescue,Junior ,Gray tabby/gray tabby with white,10,10,10,10,2
291,165,Chuck,shelter_or_rescue,Super Senior ,Gray tabby/gray tabby with white,15,3,8,1,1
292,167,Hel,gift,Mature ,Solid black,10,6,3,8,9
293,168,Penny,stray,Senior ,"Tri color. Brown, orange, white",12,7,9,1,6
294,169,Lugosi,cat_cafe,Adult ,Solid black,18,3,4,6,5
295,169,Boris,stray,Adult ,Solid gray,15,8,6,7,10
296,170,Elphie,shelter_or_rescue,Mature ,Golden/sand color- comparable to British longhair cats ,6,10,4,5,1
297,171,Mindy,shelter_or_rescue,Mature ,Orange tabby/orange tabby with white,8,2,5,4,7
298,172,Everest,shelter_or_rescue,Junior ,Solid white,14,8,7,4,5
299,172,Phantom,stray,Junior ,Gray tuxedo gray and white,8,5,4,7,2
300,173,Millie,friend_or_relative,Mature ,Gray tuxedo gray and white,8,6,5,3,3
301,174,Porsche,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,13,8,8,6,5
302,174,Jynx,shelter_or_rescue,Mature ,Solid black,13,8,9,5,10
303,175,Zach,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,15,9,10,8,9
304,175,Zoey,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,14,5,8,6,9
305,176,Bandit,shelter_or_rescue,Senior ,Classic tuxedo black and white,9,2,9,7,8
306,177,Jasmine,breeder,Super Senior ,Seal point,4,8,8,3,10
307,178,Alexander Nathaniel Hamilkitty,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,12,9,5,6,3
308,178,Hudson Graham Hamilkitty,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,10,3,7,6,2
309,179,Deino,friend_or_relative,Mature ,Brown tabby/brown tabby with white,13,1,7,3,8
310,180,sophie,pet_store,Super Senior ,Brown tabby/brown tabby with white,10,10,6,3,10
311,179,Eris,friend_or_relative,Adult ,Solid black,14,6,3,6,4
312,179,Meatloaf ,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,14,3,4,2,4
313,179,Pancake ,stray,Adult ,Orange tabby/orange tabby with white,15,9,2,8,9
314,181,Myles,cat_cafe,Adult ,White with dark and light brown patches,18,5,9,3,5
315,181,Zeke,cat_cafe,Adult ,Brown tabby/brown tabby with white,11,10,9,7,3
316,181,"Howard The Janitor(Yes, that's a real name)",cat_cafe,Junior ,Orange tabby/orange tabby with white,10,8,3,5,6
317,179,Mel,friend_or_relative,Mature ,Calico,16,10,4,2,2
318,182,Toothless,shelter_or_rescue,Adult ,Solid black,7,1,7,5,10
319,183,Carly,stray,Mature ,Gray tabby/gray tabby with white,7,10,8,6,1
320,183,William,stray,Mature ,Gray tabby/gray tabby with white,11,8,1,1,1
321,184,Ramses,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,10,8,9,9,8
322,184,Panda,stray,Senior ,Classic tuxedo black and white,12,4,7,4,7
323,184,Peony,stray,Senior ,Torbie,8,10,8,5,2
324,185,Dibley,shelter_or_rescue,Mature ,Calico,8,7,5,8,10
325,186,Pretzels ,cat_cafe,Adult ,Gray tabby/gray tabby with white,11,6,5,3,6
326,185,Jango,shelter_or_rescue,Super Senior ,Calico,8,2,9,3,2
327,187,Misa,stray,Mature ,Orange tabby/orange tabby with white,8,7,7,5,6
328,188,Ty,friend_or_relative,Super Senior ,Seal point,21,10,5,4,10
329,188,Darby,friend_or_relative,Super Senior ,Seal point,12,5,9,3,10
330,188,Shrimp,stray,Senior ,Solid black,13,3,5,5,1
331,189,Rosabell,friend_or_relative,Mature ,Gray tabby/gray tabby with white,7,8,5,2,3
332,189,Kraggle,from_owned_pet,Mature ,Solid black,5,9,4,5,8
333,190,Oscar ,friend_or_relative,Adult ,Classic tuxedo black and white,10,1,7,5,2
334,190,Clare,stray,Junior ,Calico,5,10,10,10,8
335,190,Sissy,stray,Adult ,Flame point siamese ,9,2,5,5,2
336,190,Cali,stray,Junior ,Calico,10,2,7,6,3
337,191,Calico,stray,Adult ,Calico,10,1,8,7,9
338,191,Klickitat,breeder,Senior ,Seal point,14,10,10,3,10
339,192,Pancake,shelter_or_rescue,Adult ,Solid black,12,1,8,7,4
340,193,Taz,cat_cafe,Adult ,Brown arrowhead Bengal markings,12,10,2,2,8
341,194,Pepper,stray,Mature ,Gray tabby/gray tabby with white,11,3,1,1,1
342,195,Mr. Boy,cat_cafe,Mature ,Gray tuxedo gray and white,15,5,9,3,6
343,195,Chrissy,cat_cafe,Adult ,Gray tuxedo gray and white,8,2,4,7,2
344,196,Mookie,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,16,7,9,7,8
345,197,Apollo,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,10,7,5,5,9
346,197,Icarus,friend_or_relative,Mature ,Gray tabby/gray tabby with white,14,2,5,4,5
347,198,Bruiser ,shelter_or_rescue,Adult ,Solid gray,20,10,10,3,10
348,199,Lulu,shelter_or_rescue,Mature ,Dilute torbie,7,8,7,8,5
349,200,Scratch,friend_or_relative,Junior ,Solid black,14,10,8,7,2
350,201,Chloe,friend_or_relative,Senior ,Brown tabby/brown tabby with white,11,8,7,5,7
351,202,Marble,shelter_or_rescue,Super Senior ,Buff/tan,16,8,8,3,10
352,202,Pistol Pete,shelter_or_rescue,Adult ,Brown tabby/brown tabby with white,14,8,7,7,5
353,202,Miss Purrscilla,cat_cafe,Adult ,Calico,9,3,6,7,2
354,203,Cupcake,shelter_or_rescue,Senior ,Classic tuxedo black and white,10,4,7,6,7
355,204,Dipstick ,friend_or_relative,Adult ,Tortoiseshell,6,7,9,5,9
356,204,Fuzzums,friend_or_relative,Adult ,Tortoiseshell,5,3,1,5,2
358,205,Boo Radley,friend_or_relative,Mature ,Brown tabby/brown tabby with white,15,5,8,5,3
359,129,Theo,gift,Adult ,Classic tuxedo black and white,12,8,2,5,5
360,129,Aurora,breeder,Adult ,She is half spyhnx and half siamese,13,2,8,6,4
361,206,Arya,friend_or_relative,Senior ,Classic tuxedo black and white,21,3,7,2,1
362,206,Sophie,friend_or_relative,Senior ,Gray tabby/gray tabby with white,22,1,1,1,1
363,207,Sir Winston,shelter_or_rescue,Junior ,Solid black,9,8,8,9,7
364,208,Kitten,stray,Senior ,Tortoiseshell,11,10,7,10,8
365,149,Ava,friend_or_relative,Adult ,Solid black,7,4,8,6,2
366,149,Sable,stray,Adult ,Solid black,9,5,8,7,5
367,209,Sabrina,shelter_or_rescue,Super Senior ,Gray with ivory around the face and peach highlights on the body.,10,10,9,6,8
368,149,Cheeto,stray,Adult ,Brown tabby/brown tabby with white,14,10,9,8,9
369,209,Aubrey,shelter_or_rescue,Senior ,Tortoiseshell,10,5,8,6,8
370,210,Nightmare,friend_or_relative,Junior ,Solid black,20,10,2,5,10
371,210,Hash E. Brown,friend_or_relative,Adult ,Orange tabby/orange tabby with white,28,6,3,3,2
372,210,Natika,shelter_or_rescue,Mature ,Sheâ€™s a blue Persian who is mostly grey but has brown spots,23,1,4,1,6
373,210,Midnight,friend_or_relative,Junior ,Solid black,9,1,1,7,7
374,211,Roach,stray,Junior ,Gray tabby/gray tabby with white,8,8,7,5,4
375,212,Tictic,stray,Adult ,Chocolate w. black points; classic siamese ,17,8,4,4,2
376,213,Romy,shelter_or_rescue,Junior ,Orange tabby/orange tabby with white,12,3,3,3,6
377,213,Brynn,shelter_or_rescue,Kitten ,Solid black,15,8,6,6,5
378,214,Pumpkin,stray,Mature ,Orange tabby/orange tabby with white,14,10,3,5,8
379,215,Hera,friend_or_relative,Senior ,Calico,9,6,9,3,4
380,216,Will Feral,cat_cafe,Senior ,Orange tabby/orange tabby with white,12,1,7,6,10
381,216,Izzabella,shelter_or_rescue,Senior ,Brown tabby/brown tabby with white,11,10,8,6,8
382,217,Lyla,shelter_or_rescue,Junior ,Gray tabby/gray tabby with white,8,6,10,5,3
383,216,LillyBiscuit ,shelter_or_rescue,Mature ,Orange tabby/orange tabby with white,10,10,8,8,10
384,217,Theo,friend_or_relative,Junior ,Brown tabby/brown tabby with white,19,1,1,6,1
385,216,Blaze,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,12,6,8,7,5
386,216,Zamee,stray,Super Senior ,Solid black,8,5,8,5,10
387,216,Ellee,friend_or_relative,Senior ,Classic tuxedo black and white,13,10,8,3,5
388,218,Orangellow,stray,Junior ,Orange tabby/orange tabby with white,12,10,10,9,7
389,219,Cthulhu ,friend_or_relative,Super Senior ,Solid black,14,5,6,4,6
390,219,Bowie,stray,Senior ,Solid white,12,10,6,7,8
391,220,Fluff,friend_or_relative,Senior ,Gray tuxedo gray and white,8,9,7,3,2
392,221,Storm,stray,Senior ,Orange tabby/orange tabby with white,12,3,8,4,2
393,221,Rain,friend_or_relative,Senior ,Calico,12,5,9,3,3
394,221,Malcolm ,shelter_or_rescue,Mature ,Butterscotch and white,12,2,7,7,10
395,222,Kitty,friend_or_relative,Kitten ,Calico,6,10,10,7,4
396,222,Miko,friend_or_relative,Kitten ,Orange tabby/orange tabby with white,12,3,1,4,9
397,223,Fezziwig,stray,Adult ,Orange tabby/orange tabby with white,11,2,7,7,3
398,224,Chauncey,stray,Super Senior ,Brown tabby/brown tabby with white,11,8,7,3,4
399,225,Jeffery Allen Goldblum,friend_or_relative,Adult ,Gray tabby/gray tabby with white,24,8,7,8,8
400,223,Rizzo,stray,Adult ,Gray tabby/gray tabby with white,16,8,7,6,2
401,224,Travis,shelter_or_rescue,Senior ,Gray tuxedo gray and white,17,3,3,3,3
402,224,Lola,shelter_or_rescue,Super Senior ,Solid black,7,8,9,7,10
403,226,Morgan,stray,Super Senior ,Solid black,9,10,5,3,10
404,226,Mook,stray,Super Senior ,Solid white,12,6,1,2,6
405,226,Thomas,stray,Senior ,Orange tabby/orange tabby with white,13,8,3,4,4
406,226,Newt,stray,Mature ,Classic tuxedo black and white,13,1,3,6,2
407,226,Nacho,stray,Adult ,Orange tabby/orange tabby with white,12,10,4,8,3
408,226,Mojito,stray,Adult ,Lynx point Siamese mix,14,1,1,4,4
409,226,L.C.,friend_or_relative,Mature ,Gray tabby/gray tabby with white,8,1,4,3,1
410,226,Whisper AKA Stinky,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,5,1,1,5,5
411,227,Tink,stray,Mature ,Solid black,9,8,9,6,7
412,227,Cozy,shelter_or_rescue,Mature ,Gray tuxedo gray and white,10,1,5,2,2
413,227,Kenzie,stray,Adult ,Solid black,12,6,1,4,6
414,227,Bethie McMoo,stray,Adult ,Black and White -cow pattern,11,6,7,4,3
415,227,Tavi McMoo,stray,Adult ,Black and white - cow pattern,13,3,6,6,7
416,227,Lumi,stray,Junior ,Classic tuxedo black and white,8,9,9,10,9
417,227,Snowball,stray,Super Senior ,Solid white,10,8,7,6,7
418,227,Scout,friend_or_relative,Super Senior ,Gray tuxedo gray and white,9,8,5,2,4
419,227,Blue,stray,Adult ,Tortoiseshell,9,2,8,2,4
420,227,Gracie,friend_or_relative,Mature ,Tortoiseshell,12,4,5,2,8
421,227,Charlotte,stray,Adult ,Calico,10,1,5,3,1
422,228,Baby girl cat ,friend_or_relative,Junior ,Solid black,7,8,8,4,2
423,229,Bruce,shelter_or_rescue,Mature ,Classic tuxedo black and white,15,10,8,7,5
424,230,Walker,cat_cafe,Junior ,Gray tabby/gray tabby with white,6,10,9,9,8
425,231,Violet,breeder,Mature ,Gray tabby/gray tabby with white,14,7,6,4,9
426,231,Charlie ,shelter_or_rescue,Junior ,Black tuxedo ,9,6,8,6,6
427,232,Callie,pet_store,Kitten ,Solid gray,9,1,10,5,5
428,233,Pickles,friend_or_relative,Junior ,Orange tabby/orange tabby with white,7,8,2,10,8
429,233,Harrison,from_owned_pet,Super Senior ,Gray tabby/gray tabby with white,8,3,8,3,8
430,234,Cali,shelter_or_rescue,Mature ,Calico,11,3,7,4,3
431,234,Stella,shelter_or_rescue,Adult ,Brown tabby/brown tabby with white,11,3,7,3,6
432,234,Sage,shelter_or_rescue,Junior ,Brown tabby/brown tabby with white,9,10,7,7,7
433,234,Bella,gift,Mature ,Gray tabby/gray tabby with white,10,9,7,7,6
434,235,Kaya,shelter_or_rescue,Adult ,Calico,11,2,5,7,10
435,236,Nala,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,14,5,7,6,9
436,236,Simba,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,15,7,6,3,3
437,237,Anakin,cat_cafe,Junior ,Orange tabby/orange tabby with white,10,3,8,5,6
438,238,Cali,shelter_or_rescue,Adult ,Calico,12,3,7,3,8
439,238,Victoria,gift,Adult ,Classic tuxedo black and white,14,10,10,8,10
440,238,Toast,shelter_or_rescue,Mature ,Tortoiseshell,8,5,8,10,10
441,238,Lilly ,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,14,10,9,7,10
442,239,Alice,stray,Adult ,Solid white,7,8,4,5,8
443,240,Maude,stray,Junior ,Calico,14,8,8,2,2
444,241,Butter,shelter_or_rescue,Mature ,Orange tabby/orange tabby with white,10,3,5,4,9
445,242,Leo,stray,Adult ,Orange tabby/orange tabby with white,5,4,4,7,3
446,243,Eureka,stray,Senior ,Orange tabby/orange tabby with white,6,8,4,2,10
447,243,Zeus,stray,Kitten ,Orange tabby/orange tabby with white,10,9,8,3,8
448,243,Bandit,stray,Adult ,Solid black,7,6,6,7,7
449,243,Ozma,shelter_or_rescue,Junior ,Classic tuxedo black and white,12,9,10,10,10
450,244,Harley ,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,21,9,9,3,3
451,244,Corbin ,stray,Senior ,Brown tabby/brown tabby with white,18,1,7,2,5
452,244,Cooper,stray,Adult ,Orange tabby/orange tabby with white,15,6,8,5,5
453,244,Stevie,stray,Adult ,Solid gray,16,1,7,5,4
454,244,Tebby,stray,Adult ,Classic tuxedo black and white,13,6,6,6,6
455,245,Fizzy Orange,stray,Adult ,Orange tabby/orange tabby with white,15,10,6,6,4
456,245,Jiggy,stray,Junior ,Orange tabby/orange tabby with white,20,8,2,5,4
457,245,Tot,stray,Junior ,Muted tortie,5,2,8,6,1
458,245,Boo boo kitty,shelter_or_rescue,Senior ,Black and white,10,4,9,3,3
459,246,Mouse,friend_or_relative,Mature ,Calico,11,2,7,5,9
460,246,Big Boy,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,18,9,5,6,5
461,247,Serena ,friend_or_relative,Adult ,Solid black,7,4,8,5,2
462,247,Venus,friend_or_relative,Adult ,Solid gray,8,4,4,4,7
463,247,Kylo,shelter_or_rescue,Junior ,Brown tabby/brown tabby with white,10,8,8,8,8
464,248,Razzle,cat_cafe,Mature ,Classic tuxedo black and white,16,6,7,2,5
465,249,Nico,friend_or_relative,Kitten ,Orange tabby/orange tabby with white,10,3,3,3,8
466,249,Remy,shelter_or_rescue,Kitten ,Gray tabby/gray tabby with white,9,1,5,1,5
467,250,Billie,stray,Junior ,Orange tabby/orange tabby with white,8,8,10,4,4
468,251,Kat,friend_or_relative,Senior ,Gray tabby/gray tabby with white,112,5,6,4,8
469,252,Zeus,gift,Adult ,Brown tabby/brown tabby with white,10,5,8,10,5
470,253,Cowboy,shelter_or_rescue,Adult ,Classic tuxedo black and white,20,10,8,3,2
471,254,Karibu,shelter_or_rescue,Mature ,Solid black,9,4,9,3,8
472,255,Cash,stray,Junior ,Solid black,7,3,10,4,8
473,255,Penny,shelter_or_rescue,Junior ,Brown tabby/brown tabby with white,8,1,5,2,3
474,256,Morty,cat_cafe,Adult ,Solid black,12,1,1,2,10
475,256,Indiana,cat_cafe,Adult ,Orange tabby/orange tabby with white,15,5,8,3,2
476,256,Jaxie,stray,Adult ,Orange tabby/orange tabby with white,10,2,8,5,6
