,Timestamp,family,"What is your pet's name? (As a reminder, you should submit one separate survey for each cat you have.)",How did you acquire this cat?,"If your cat came from a cat cafe, or if you indicated you adopted this cat from ""Other"", please give the name of the cafe or other adoption/purchase source below:",In which of the following life stages is this cat?,"How long, in years, have you had this cat? (Please round up or round down to the closest whole number.)",Which of these best describes your cat's coat color? ,"If your cat's coat was marked as ""Other"", please describe the cat's coloration below:","Approximately how much does your cat weigh, in pounds? (Please use decimals instead of fractions if you know your cat's weight very specifically.)","On a scale from 1 to 10, with 1 being ""scaredy cat"" and 10 being ""social butterfly"", how social is your cat around people?","On a scale from 1 to 10, with 1 being ""Has one brain cell"" and 10 being ""Kitty Einstein"", how intelligent do you think your cat is? (A nice simple quiz you can use to gauge this based on everyday behaviors can be found here.)","On a scale from 1 to 10, with 1 being ""Couch potato"" and 10 being ""Always in motion"", how active/playful is your cat?","On a scale from 1 to 10, with 1 being ""Cat's got his tongue"" and 10 being ""Chatty Cathy"", how vocal is your cat?"
155,6/6/2023 16:42:10,86,Murphy,Found as a stray,,Super Senior (15 years+),16,Orange tabby/orange tabby with white,,11,6,5,5,8
156,6/6/2023 16:42:36,85,Felix,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1 year,Other,Chocolate tabby point Siamese ,10,10,9,10,10
157,6/6/2023 16:42:44,84,Penelope,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1 year,Tortoiseshell,,6 pounds,10,7,10,6
158,6/6/2023 16:43:22,86,Stella,Found as a stray,,Senior (11-14 years),11,Tortoiseshell,,13,2,2,2,4
159,6/6/2023 16:44:31,86,Inka,Found as a stray,,Senior (11-14 years),9,Solid black,,10,9,6,8,9
160,6/6/2023 16:45:28,86,Oscar,Found as a stray,,Mature (7--10 years),9,Solid black,,13,9,7,9,8
161,6/6/2023 16:45:54,87,Kimmie,Acquired through a friend or relative,,Senior (11-14 years),10 years,Brown tabby/brown tabby with white,,6.5 pounds,1,7,3,8
162,6/6/2023 16:46:43,86,Rosie,Found as a stray,,Mature (7--10 years),7,Classic tuxedo (black and white),,10,7,9,9,9
163,6/6/2023 16:46:45,88,Faux Paw,Adopted through animal shelter/rescue group,,Mature (7--10 years),Fostered from 1 week,Solid gray,,8.2,3,8,4,5
164,6/6/2023 16:47:44,86,Merlin,Found as a stray,,Mature (7--10 years),5,Brown tabby/brown tabby with white,,14,8,9,3,7
165,6/6/2023 16:48:46,86,Charlotte,Acquired through a friend or relative,,Adult (3--6 years),5,Tortoiseshell,,12,4,4,3,7
166,6/6/2023 16:51:25,88,Rigatoni,Adopted at a cat cafe,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1 year,Orange tabby/orange tabby with white,,11.8,9,2,6,6
167,6/6/2023 16:51:43,89,Toulouse ,Found as a stray,,Mature (7--10 years),9,Brown tabby/brown tabby with white,,I don’t know. ,3,6,7,6
168,6/6/2023 16:56:32,90,Domino ,Acquired through a friend or relative,,Senior (11-14 years),12,Classic tuxedo (black and white),,21,10,10,3,9
169,6/6/2023 17:03:09,90,Shadow ,Found as a stray,,Adult (3--6 years),4,Classic tuxedo (black and white),,7,7,8,5,4
170,6/6/2023 17:06:22,91,Diego,Acquired through a friend or relative,,Senior (11-14 years),11years,Orange tabby/orange tabby with white,,15,1,8,1,5
171,6/6/2023 17:08:20,91,Carmine,Adopted through animal shelter/rescue group,,Mature (7--10 years),9,Gray tabby/gray tabby with white,,15,8,10,6,5
172,6/6/2023 17:25:28,92,Zoey,Adopted through animal shelter/rescue group,,Mature (7--10 years),10 years,Classic tuxedo (black and white),,12,8,6,6,7
173,6/6/2023 17:26:22,93,Churchill,Found as a stray,,Senior (11-14 years),13,Solid gray,,15,5,8,3,5
174,6/6/2023 17:27:00,94,Tiger,Acquired through a friend or relative,,Mature (7--10 years),10,Orange tabby/orange tabby with white,,8,4,5,5,7
175,6/6/2023 17:27:11,92,Oliver,Adopted through animal shelter/rescue group,,Mature (7--10 years),7 years,Gray tabby/gray tabby with white,,10,2,6,8,2
176,6/6/2023 17:27:17,93,Laney,Found as a stray,,Mature (7--10 years),10,Brown tabby/brown tabby with white,,14,1,2,5,4
177,6/6/2023 17:40:45,95,Little Cat,Acquired through a friend or relative,,Adult (3--6 years),1,Gray tuxedo (gray and white),,8.5,7,8,7,7
178,6/6/2023 18:07:00,96,MC,Acquired through a friend or relative,,Senior (11-14 years),1 year,Calico,,10 lbs,3,5,2,1
179,6/6/2023 18:22:57,97,Jolean,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2 years,Orange tabby/orange tabby with white,,17 pounds,7,9,8,5
180,6/6/2023 18:26:25,98,Tilly,Acquired through a friend or relative,,Super Senior (15 years+),8,Gray tabby/gray tabby with white,,8.8,9,7,4,9
181,6/6/2023 18:28:34,99,Lolly,Found as a stray,,Super Senior (15 years+),14,Other,Mostly white with a few large brown spots (including a heart on shoulder),8,7,9,1,6
182,6/6/2023 18:30:05,100,miso,Adopted through animal shelter/rescue group,,Adult (3--6 years),1,Gray tabby/gray tabby with white,,16,7,6,7,6
183,6/6/2023 18:49:48,101,Jack,Acquired through a friend or relative,,Mature (7--10 years),7 years,Brown tabby/brown tabby with white,,Brown and black tabby,3,9,4,8
184,6/6/2023 18:51:19,101,Bailey,Found as a stray,,Mature (7--10 years),7 years,Tortoiseshell,,13,7,7,4,4
185,6/6/2023 19:02:00,102,Fenix,Adopted through animal shelter/rescue group,,Adult (3--6 years),10,Orange tabby/orange tabby with white,,15,10,8,3,10
186,6/6/2023 19:03:12,102,Collins,Adopted through animal shelter/rescue group,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,8,Solid black,,16,5,8,5,1
187,6/6/2023 19:10:31,103,Loki,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,almost 1 ,Gray tuxedo (gray and white),,3,9,7,8,10
188,6/6/2023 19:25:48,104,Izzy Ruth,Acquired through a friend or relative,,Adult (3--6 years),3,Calico,,12,3,8,4,8
189,6/6/2023 19:56:20,105,Milo,Adopted through animal shelter/rescue group,,Adult (3--6 years),4 years ,Gray tabby/gray tabby with white,,7,8,8,9,9
190,6/6/2023 20:37:04,106,Gracie ,Adopted through animal shelter/rescue group,,Adult (3--6 years),3 years ,Gray tabby/gray tabby with white,,10.73 lb ,5,9,4,8
191,6/6/2023 20:38:31,106,Ginger ,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1 year ,Calico,,8.73 lb ,8,1,8,3
192,6/6/2023 20:44:45,107,Violet ,Acquired through a friend or relative,,Mature (7--10 years),8 years,Gray tabby/gray tabby with white,,7.5 pounds ,8,9,2,5
193,6/6/2023 20:48:12,107,Kinsi,Acquired through a friend or relative,,Adult (3--6 years),5 years,Solid gray,,10 pounds,3,10,7,8
194,6/6/2023 20:57:25,108,Luna ,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2 years. Found her at around 6 months old. ,Other,She is a calico and a tabby ,13.6,9,8,5,4
195,6/6/2023 21:40:26,109,Lara,Found as a stray,,Adult (3--6 years),6,Classic tuxedo (black and white),,14,8,8,5,6
196,6/6/2023 21:43:44,110,Sir Bright Eyes,Found as a stray,,Mature (7--10 years),7 years,Seal point,,9 lbs,5,9,8,8
197,6/6/2023 21:49:54,111,Berlioz,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Orange tabby/orange tabby with white,,15,9,1,4,2
198,6/6/2023 21:51:10,112,Gypsie,Found as a stray,,Adult (3--6 years),3,Classic tuxedo (black and white),,8,1,7,3,6
199,6/6/2023 21:53:41,113,socks,Found as a stray,,Super Senior (15 years+),17yrs,Classic tuxedo (black and white),,8lb,5,5,2,4
200,6/6/2023 22:02:00,114,Jake,Adopted through animal shelter/rescue group,,Super Senior (15 years+),17,Classic tuxedo (black and white),,10,8,8,7,10
201,6/6/2023 22:30:49,115,Screech,Found as a stray,,Adult (3--6 years),3,Other,"Black and white splotches, not tuxedo",13,4,7,5,1
202,6/6/2023 22:34:42,116,Loki,Acquired through a friend or relative,,Mature (7--10 years),8,Brown tabby/brown tabby with white,,9,5,8,9,6
203,6/6/2023 22:36:02,117,Rum Tum Tugger,Adopted through animal shelter/rescue group,,Adult (3--6 years),2 years,Orange tabby/orange tabby with white,,15,7,8,7,8
204,6/6/2023 23:28:49,118,Gavin,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,8,Solid black,,14,10,6,3,2
205,6/6/2023 23:30:40,118,Scratch,Found as a stray,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,6,Brown tabby/brown tabby with white,,9,1,1,2,1
206,6/6/2023 23:46:18,119,Colonel,Found as a stray,,Mature (7--10 years),6,Orange tabby/orange tabby with white,,16,6,6,2,4
207,6/6/2023 23:47:47,119,Sage,Adopted through animal shelter/rescue group,,Mature (7--10 years),7,Tortoiseshell,,9,7,8,7,7
208,6/6/2023 23:49:07,119,Juniper,Found as a stray,,Adult (3--6 years),6,Calico,,7,2,9,6,10
209,6/7/2023 0:16:58,120,Cash,Acquired through a friend or relative,,Mature (7--10 years),7 years,Brown tabby/brown tabby with white,,15,3,10,3,3
210,6/7/2023 0:18:06,120,Callie,Acquired through a friend or relative,,Mature (7--10 years),7,Brown tabby/brown tabby with white,,14,9,8,6,8
211,6/7/2023 0:24:02,121,Daisy ,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1year,Tortoiseshell,,8,9,9,5,8
212,6/7/2023 0:52:19,122,Scoobs,Found as a stray,,Adult (3--6 years),3 yrs,Gray tabby/gray tabby with white,,No idea,10,7,7,6
213,6/7/2023 1:12:17,123,Sebastian ,Acquired through a friend or relative,,Mature (7--10 years),10,Brown tabby/brown tabby with white,,12 lbs,6,8,5,9
214,6/7/2023 6:15:35,124,Max,Acquired through a friend or relative,,Mature (7--10 years),four,Other,"almost all white but black tail, and partly black on head and face ",not sure,8,9,8,7
215,6/7/2023 6:17:43,124,Michael,Adopted through animal shelter/rescue group,,Adult (3--6 years),three,Orange tabby/orange tabby with white,,12 pounds,1,7,5,6
216,6/7/2023 6:34:20,125,Pete,Adopted through animal shelter/rescue group,,Mature (7--10 years),9,Brown tabby/brown tabby with white,,17 lbs,7,4,2,7
217,6/7/2023 7:29:52,126,Mork,Acquired through a friend or relative,,Adult (3--6 years),7,Solid white,,6,2,8,5,8
218,6/7/2023 8:12:31,126,Mindy,Acquired through a friend or relative,,Mature (7--10 years),7,Orange tabby/orange tabby with white,,6,1,7,4,3
219,6/7/2023 8:14:18,126,Monkey,Acquired through a friend or relative,,Adult (3--6 years),3,Classic tuxedo (black and white),,4,10,10,10,6
220,6/7/2023 8:15:28,126,Moonpie ,Found as a stray,,Adult (3--6 years),3,Brown tabby/brown tabby with white,,8,3,4,2,3
221,6/7/2023 9:06:12,127,Dolly Parton,Adopted through animal shelter/rescue group,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,0ne,Other,White with brown and black spots,7lbs,1,7,10,1
222,6/7/2023 9:33:24,128,Monty,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Gray tabby/gray tabby with white,,10 pounds,7,7,8,8
223,6/7/2023 9:35:52,129,Tyler,Acquired through a friend or relative,,Mature (7--10 years),9,Orange tabby/orange tabby with white,,16,10,6,3,2
224,6/7/2023 9:37:00,129,Henrietta ,Acquired through a friend or relative,,Mature (7--10 years),9,Calico,,15,2,6,2,3
225,6/7/2023 9:38:18,129,Skyler,Acquired through a friend or relative,,Adult (3--6 years),5,Solid black,,11,5,5,3,7
226,6/7/2023 9:43:40,130,Milo the Kitty Cat,Acquired through a friend or relative,,Super Senior (15 years+),17 years,Orange tabby/orange tabby with white,,15 pounds,8,7,3,7
227,6/7/2023 9:44:17,131,Nala,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,One year,Calico,,5 pounds,3,7,5,4
228,6/7/2023 9:46:14,131,Nari,Acquired through a friend or relative,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2 weeks 0 years,Orange tabby/orange tabby with white,,Less then a pound,7,4,8,8
229,6/7/2023 10:01:00,132,Boss,Adopted through animal shelter/rescue group,,Super Senior (15 years+),17,Brown tabby/brown tabby with white,,7,5,7,3,8
230,6/7/2023 10:03:28,133,Yogi,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Gray tabby/gray tabby with white,,10 pounds,8,5,5,4
231,6/7/2023 10:03:52,134,BabyCat,Found as a stray,,Super Senior (15 years+),19.9,Calico,,5 lbs,1,4,1,3
232,6/7/2023 10:04:11,135,Ben,Adopted through animal shelter/rescue group,,Mature (7--10 years),6,Other,Hes a cream tabby,13,10,7,5,10
233,6/7/2023 10:05:33,135,Dahlia,Adopted through animal shelter/rescue group,,Senior (11-14 years),5,Solid black,,11,3,7,5,3
234,6/7/2023 10:06:16,136,Ralph,Adopted through animal shelter/rescue group,,Adult (3--6 years),5,Solid black,,24 lbs,3,4,4,8
235,6/7/2023 10:08:18,136,Lucy,Found as a stray,,Mature (7--10 years),8,Tortoiseshell,,9,3,8,8,5
236,6/7/2023 10:14:24,137,Diaphanous,Adopted at a cat cafe,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Solid black,,9.5,8,8,8,8
237,6/7/2023 10:16:32,138,Smokey,Adopted through animal shelter/rescue group,,Mature (7--10 years),4,Gray tuxedo (gray and white),,9.6,1,6,6,10
238,6/7/2023 10:25:01,137,Paisley,Adopted at a cat cafe,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Calico,,9.8,10,7,4,9
239,6/7/2023 10:27:00,137,Piper,Adopted at a cat cafe,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Brown tabby/brown tabby with white,,7.5,2,5,6,3
240,6/7/2023 10:28:27,137,Whiskey,Adopted at a cat cafe,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Other,Fire point siamese,6.5,10,2,8,10
241,6/7/2023 10:32:38,139,Clark,Adopted through animal shelter/rescue group,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Solid gray,,7,10,5,7,2
242,6/7/2023 10:34:16,139,Kiki,Acquired through a friend or relative,,Senior (11-14 years),12,Gray tuxedo (gray and white),,15,7,8,3,6
243,6/7/2023 10:44:41,140,Dr Henry Jones. Jr,Found as a stray,,Mature (7--10 years),6,Brown tabby/brown tabby with white,,10,8,8,3,3
244,6/7/2023 10:46:27,140,Billy Shipton ,Adopted through animal shelter/rescue group,,Adult (3--6 years),3,Orange tabby/orange tabby with white,,12,4,3,2,5
245,6/7/2023 10:46:58,141,Kittles,Bred at home/from owned pet,,Senior (11-14 years),12,Solid black,,?,4,4,3,6
246,6/7/2023 10:47:04,142,Kitka,Acquired through a friend or relative,,Senior (11-14 years),12,Other,Long hair black and white marbled (non-tuxedo),11,3,4,4,6
247,6/7/2023 10:56:13,143,Bijou,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Tortoiseshell,,11,5,10,6,6
248,6/7/2023 10:56:43,144,Jefferson,Acquired through a friend or relative,,Mature (7--10 years),7,Brown tabby/brown tabby with white,,15,8,6,1,4
249,6/7/2023 10:57:31,143,Cosmo Charlie ,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Classic tuxedo (black and white),,13,8,7,8,10
250,6/7/2023 10:58:19,145,Chai,Found as a stray,,Adult (3--6 years),2,Brown tabby/brown tabby with white,,10,4,7,5,4
251,6/7/2023 10:58:26,143,Bijou ,Adopted through animal shelter/rescue group,,Adult (3--6 years),2,Tortoiseshell,,11,6,10,6,6
252,6/7/2023 10:58:46,144,Oliver,Adopted at a cat cafe,,Adult (3--6 years),6,Classic tuxedo (black and white),,11,6,3,4,5
253,6/7/2023 10:59:24,144,Eliza,Adopted at a cat cafe,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Classic tuxedo (black and white),,7,10,7,10,7
254,6/7/2023 10:59:30,146,Girlie,Adopted through animal shelter/rescue group,,Super Senior (15 years+),22,Other,Long hair gray with white blotches,4,9,8,2,6
255,6/7/2023 11:01:08,147,Jarvis,Acquired through a friend or relative,,Adult (3--6 years),3 years,Orange tabby/orange tabby with white,,14,8,7,3,4
256,6/7/2023 11:01:58,148,Sly,Acquired through a friend or relative,,Senior (11-14 years),5,Classic tuxedo (black and white),,7.2,6,9,5,2
257,6/7/2023 11:02:47,149,Orange,Received as a gift,,Senior (11-14 years),13,Orange tabby/orange tabby with white,,17,7,8,2,4
258,6/7/2023 11:02:50,147,Tank,Adopted through animal shelter/rescue group,,Mature (7--10 years),8 years,Brown tabby/brown tabby with white,,8lbs,10,8,6,7
259,6/7/2023 11:04:19,147,Trinity,Adopted through animal shelter/rescue group,,Mature (7--10 years),8 years,Brown tabby/brown tabby with white,,9 lbs,5,4,4,9
260,6/7/2023 11:04:34,148,Sally,Found as a stray,,Senior (11-14 years),11 years,Tortoiseshell,,11.1 lbs,10,10,5,10
261,6/7/2023 11:05:09,150,Mitchell ,Found as a stray,,Adult (3--6 years),5 years,Solid gray,,14 lbs,3,9,9,8
262,6/7/2023 11:05:49,147,Kitty Sister,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2 years,Gray tabby/gray tabby with white,,12 lbs,6,9,9,10
263,6/7/2023 11:06:18,148,Gracie,Found as a stray,,Adult (3--6 years),6 years,Calico,,8 lbs,1,8,7,2
264,6/7/2023 11:07:32,150,Mo,Found as a stray,,Super Senior (15 years+),13 years,Tortoiseshell,,6 lbs,10,10,3,9
265,6/7/2023 11:10:16,151,LILY,Adopted through animal shelter/rescue group,,Mature (7--10 years),7,Solid white,,14,6,10,5,10
266,6/7/2023 11:10:18,152,Cassandra(Sandy),Found as a stray,,Senior (11-14 years),13 years,Orange tabby/orange tabby with white,,8 pounds,10,9,1,6
267,6/7/2023 11:14:20,152,Ambrose,Found as a stray,,Adult (3--6 years),5 years,Orange tabby/orange tabby with white,,8 poundspp,10,9,6,10
268,6/7/2023 11:15:20,153,Mous ,Acquired through a friend or relative,,Senior (11-14 years),13,Classic tuxedo (black and white),,17.6,8,6,4,5
269,6/7/2023 11:16:17,154,Summer,Received as a gift,,Super Senior (15 years+),17,Gray tabby/gray tabby with white,,9,5,9,4,7
270,6/7/2023 11:16:33,155,Misty,Purchased from a breeder,,Super Senior (15 years+),16,Tortoiseshell,,I don't know and I'm bad at guessing these things!,4,7,5,8
271,6/7/2023 11:17:41,154,Louie,Found as a stray,,Mature (7--10 years),7,Classic tuxedo (black and white),,18,2,5,7,8
272,6/7/2023 11:17:51,155,Nelly,Purchased from a breeder,,Super Senior (15 years+),18,Solid gray,,I'm not sure and I would hate to guess!,8,4,3,5
273,6/7/2023 11:18:53,152,Shyanne,Found as a stray,,Mature (7--10 years),10 years,Gray tabby/gray tabby with white,,9 pounds no,1,7,2,3
274,6/7/2023 11:25:31,156,Garfield ,Adopted through animal shelter/rescue group,,Senior (11-14 years),8,Orange tabby/orange tabby with white,,7,3,5,3,8
275,6/7/2023 11:27:12,157,Basil,Found as a stray,,Super Senior (15 years+),14,Gray tabby/gray tabby with white,,7,4,8,6,3
276,6/7/2023 11:28:19,157,Parsley,Adopted through animal shelter/rescue group,,Super Senior (15 years+),14,Brown tabby/brown tabby with white,,14,6,4,2,7
277,6/7/2023 11:29:35,158,Darla,Adopted through animal shelter/rescue group,,Adult (3--6 years),3,Brown tabby/brown tabby with white,,11.8,2,8,6,8
278,6/7/2023 11:30:52,159,Luna,Adopted at a cat cafe,,Adult (3--6 years),3,Brown tabby/brown tabby with white,,7,6,5,5,3
279,6/7/2023 11:34:01,160,Ben,Adopted at a cat cafe,,Adult (3--6 years),3,Solid black,,14,8,10,8,10
280,6/7/2023 11:34:50,161,Milo,Adopted through animal shelter/rescue group,,Adult (3--6 years),2,Gray tabby/gray tabby with white,,10,9,4,5,1
281,6/7/2023 11:35:46,160,Savannah,Adopted through animal shelter/rescue group,,Mature (7--10 years),7,Solid white,,12,1,9,2,9
282,6/7/2023 11:35:47,162,Tigerlily,Adopted through animal shelter/rescue group,,Adult (3--6 years),4 years,Brown tabby/brown tabby with white,,13.4,8,8,8,10
283,6/7/2023 11:36:51,160,Nick,Found as a stray,,Super Senior (15 years+),15,Gray tabby/gray tabby with white,,10,10,10,1,10
284,6/7/2023 11:37:49,162,Clancy,Adopted through animal shelter/rescue group,,Adult (3--6 years),3 years,Solid black,,14,9,7,5,3
285,6/7/2023 11:38:04,163,Odofin Tutuola ,Purchased from a breeder,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Other,Black smoke ,6,5,5,3,2
286,6/7/2023 11:41:54,164,Cleo,Found as a stray,,Mature (7--10 years),6,Gray tabby/gray tabby with white,,5,8,8,6,5
287,6/7/2023 11:48:44,165,Beans,Adopted at a cat cafe,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2 years,Orange tabby/orange tabby with white,,12 lbs,9,10,8,7
288,6/7/2023 11:50:11,165,Blanche,Adopted at a cat cafe,,Adult (3--6 years),4years,Orange tabby/orange tabby with white,,15 lbs,9,9,7,8
289,6/7/2023 11:51:07,166,Ludo,Adopted through animal shelter/rescue group,,Mature (7--10 years),7,Brown tabby/brown tabby with white,,12 pounds,5,10,3,3
290,6/7/2023 11:51:21,165,Arthur,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2 years,Gray tabby/gray tabby with white,,10 lbs,10,10,10,2
291,6/7/2023 11:52:32,165,Chuck,Adopted through animal shelter/rescue group,,Super Senior (15 years+),16 years,Gray tabby/gray tabby with white,,15 lbs,3,8,1,1
292,6/7/2023 11:52:50,167,Hel,Received as a gift,,Mature (7--10 years),7,Solid black,,10,6,3,8,9
293,6/7/2023 11:54:31,168,Penny,Found as a stray,,Senior (11-14 years),11 years,Other,"Tri color. Brown, orange, white",12lbs,7,9,1,6
294,6/7/2023 11:58:03,169,Lugosi,Adopted at a cat cafe,,Adult (3--6 years),3 years,Solid black,,18,3,4,6,5
295,6/7/2023 11:58:51,169,Boris,Found as a stray,,Adult (3--6 years),1,Solid gray,,15,8,6,7,10
296,6/7/2023 12:01:55,170,Elphie,Adopted through animal shelter/rescue group,,Mature (7--10 years),7 years,Other,Golden/sand color- comparable to British longhair cats ,6.8 pounds,10,4,5,1
297,6/7/2023 12:02:13,171,Mindy,Adopted through animal shelter/rescue group,,Mature (7--10 years),8,Orange tabby/orange tabby with white,,8 pounds ,2,5,4,7
298,6/7/2023 12:07:55,172,Everest,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Solid white,,14,8,7,4,5
299,6/7/2023 12:08:45,172,Phantom,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Gray tuxedo (gray and white),,8,5,4,7,2
300,6/7/2023 12:14:21,173,Millie,Acquired through a friend or relative,,Mature (7--10 years),1 year,Gray tuxedo (gray and white),,8 lbs,6,5,3,3
301,6/7/2023 12:30:03,174,Porsche,Adopted through animal shelter/rescue group,,Mature (7--10 years),10,Brown tabby/brown tabby with white,,13,8,8,6,5
302,6/7/2023 12:31:28,174,Jynx,Adopted through animal shelter/rescue group,,Mature (7--10 years),10,Solid black,,13,8,9,5,10
303,6/7/2023 12:44:13,175,Zach,Adopted through animal shelter/rescue group,,Adult (3--6 years),6,Orange tabby/orange tabby with white,,15,9,10,8,9
304,6/7/2023 12:45:12,175,Zoey,Adopted through animal shelter/rescue group,,Adult (3--6 years),6,Orange tabby/orange tabby with white,,14,5,8,6,9
305,6/7/2023 12:48:01,176,Bandit,Adopted through animal shelter/rescue group,,Senior (11-14 years),11,Classic tuxedo (black and white),,9,2,9,7,8
306,6/7/2023 12:55:27,177,Jasmine,Purchased from a breeder,,Super Senior (15 years+),23,Seal point,,4.2,8,8,3,10
307,6/7/2023 12:57:00,178,Alexander Nathaniel Hamilkitty,Adopted through animal shelter/rescue group,,Adult (3--6 years),3,Orange tabby/orange tabby with white,,12,9,5,6,3
308,6/7/2023 12:58:19,178,Hudson Graham Hamilkitty,Adopted through animal shelter/rescue group,,Adult (3--6 years),3,Orange tabby/orange tabby with white,,10,3,7,6,2
309,6/7/2023 13:00:15,179,Deino,Acquired through a friend or relative,,Mature (7--10 years),7,Brown tabby/brown tabby with white,,13,1,7,3,8
310,6/7/2023 13:00:53,180,sophie,Purchased from a pet store,,Super Senior (15 years+),17,Brown tabby/brown tabby with white,,10,10,6,3,10
311,6/7/2023 13:02:17,179,Eris,Acquired through a friend or relative,,Adult (3--6 years),4,Solid black,,14,6,3,6,4
312,6/7/2023 13:05:38,179,Meatloaf ,Adopted through animal shelter/rescue group,,Mature (7--10 years),6,Brown tabby/brown tabby with white,,14,3,4,2,4
